name,hq,data_filings,median_wage,naics,relevant_title,score
Aimbridge Employee Service Corp.,"Plano, TX",1,110000,561330,Senior Procurement Analyst,27.0
AimRx3Pl LLC,"East Brunswick, NJ",1,82000,424210,Management Analyst,22.5
Aimtron Corporation,"Palatine, IL",1,69035,541512,Operations Analyst,22.5
"Aingelz, Inc.","Atlanta, GA",1,123531,541715,Head Of Data And Technology,30.1
"AIP, LLC","New York, NY",1,110000,551112,Artificial Intelligence And Data Analyst (“Ai Analyst”),27.0
"AIQ Global, Inc.","Madison, WI",1,49088,541511,Image Data Analyst,22.5
"AiQueous, LLC","Austin, Tx  78757, TX",1,87360,541511,Senior Business Analyst,22.5
"Air Flow, Inc.","Milwaukee, WI",1,45000,425120,Market Analyst,22.5
Air Liquide Advanced Technologies U.S. LLC,"Houston, TX",1,68286,325120,Data Engineer Analyst,22.5
"Air Products & Chemicals, Inc.","Allentown, PA",1,124000,325120,Project Delivery Data Analytics Lead,30.2
AIR SEA TRANSPORT (CHICAGO) INC.,"Bensenville, IL",1,,42512,Data Operations Analyst,22.5
"Air-Conditioning, Heating, and Refrigeration Institute","Arlington, VA",1,117542,813910,Data Scientist,28.8
"Airbus Helicopters, Inc.","Grand Prairie, TX",1,70720,336411,Mro Business Analyst,22.5
airclass cargo corp,"Miami, FL",1,47000,481112,Logistic Analyst,22.5
AIRFIND CORP,"Miami, FL",1,,5132,Data Scientist,22.5
AISPIRE EDGE LLC,"Atlanta, GA",1,,541511,Marketing Research Analyst,22.5
Aithent Inc,"New York, NY",1,100506,541511,Business Analyst,24.9
AITITOW GROUP LLC,"Indianapolis, IN",1,,424130,Business Intelligence Analyst,22.5
"Ajanta Pharma USA, Inc.","Bridgewater, NJ",1,80000,424210,Supply Chain And Dscsa Analyst,22.5
"AJC International, Inc.","Atlanta, GA",1,51168,424410,"Logistics Analyst-Intl. Trading, Mexico And Central America",22.5
AJK TECH INSIGHTS LLC,"Raleigh, NC",1,115000,541511,Business Analyst,28.2
"AJS Creations, Inc.","New York, NY",1,110000,458310,Senior Analyst Of Search Engine Marketing,27.0
AK Group Management Corporation,"Chicago, IL",1,,5614,Management Analyst,22.5
AK IT Consulting Services LLC,"Sterling, VA",1,82493,541511,Qa Analyst,22.5
AK4 Networks LLC,"Malvern, PA",1,82950,541511,Management Analyst,22.5
Akaibana Restaurant Inc,"Edison, NJ",1,,722511,Management Analyst,22.5
"Akesis Global Health, Inc.","Solon, OH",1,60000,541611,Supply Planning Analyst,22.5
Akram & Associates PLLC,"Cary, NC",1,77605,541211,Business Intelligence Analyst,22.5
"AKRON PHARMA, INC.","Fairfield, NJ",1,,32541,Digital Marketing Analyst,22.5
"Al International, LLC","North Plainfield, NJ",1,62000,454110,Market Research Analyst,22.5
Al Rafay Consulting,"Bolingbrook, IL",1,104500,541511,Senior Data & Bi Consultant I,25.8
